,Location,Population,% of world,Date,Source (official or from the United Nations),Notes
0,World,8232000000,100%,13 Jun 2025,UN projection[1][3],
1,India,1417492000,17.2%,1 Jul 2025,Official projection[4],[b]
2,China,1404890000,17.1%,31 Dec 2025,Official estimate[5],[c]
3,United States,341784857,4.2%,1 Jul 2025,Official estimate[6],[d]
4,Indonesia,284438782,3.5%,30 Jun 2025,National annual projection[7],
5,Pakistan,241499431,2.9%,1 Mar 2023,2023 census result[8],[e]
6,Nigeria,223800000,2.7%,1 Jul 2023,Official projection[9],
7,Brazil,213421037,2.6%,1 Jul 2025,Official estimate[10],
8,Bangladesh,169828911,2.1%,14 Jun 2022,2022 census result[11],[f]
9,Russia,146028325,1.8%,1 Jan 2025,Official estimate[13],[g]
10,Mexico,130760049,1.6%,30 Sep 2025,National quarterly estimate[14],
11,Japan,122950000,1.5%,1 Jan 2026,Monthly national estimate[15],
12,Philippines,114123600,1.4%,1 Jul 2025,Official projection[16],
13,Democratic Republic of the Congo,112832000,1.4%,1 Jul 2025,UN projection[17],
14,Ethiopia,111652998,1.4%,1 Jul 2025,National annual projection[18],
15,Egypt,107868296,1.3%,1 Jul 2025,Official estimate[19],
16,Vietnam,102300000,1.2%,31 Dec 2025,Official estimate[20],
17,Iran,86563000,1.1%,20 Mar 2025,Official projection[21],
18,Turkey,86092168,1.0%,31 Dec 2025,Official estimate[22],
19,Germany,83497147,1.0%,30 Sep 2025,National quarterly estimate[23],
20,United Kingdom,69487000,0.8%,30 Jun 2025,Official estimate[24],[h]
21,France,69081996,0.8%,1 Jan 2026,Yearly national estimate[25],[i]
22,Tanzania,68153004,0.8%,1 Jul 2025,Official projection[26],[j]
23,Thailand,65826149,0.8%,30 Nov 2025,Monthly national estimate[27],
24,South Africa,63100945,0.8%,30 Jun 2025,Official estimate[28],
25,Italy,58956824,0.7%,31 Oct 2025,Monthly national estimate[29],
26,Kenya,53330978,0.6%,1 Jul 2025,Official projection[30],
27,Colombia,53057212,0.6%,1 Jan 2025,Official projection[31],
28,Sudan,51662000,0.6%,1 Jul 2025,UN projection[32],
29,Myanmar,51375327,0.6%,15 Oct 2024,2024 census result[33],[k]
30,South Korea,51117378,0.6%,31 Dec 2025,Monthly national estimate[35],
31,Spain,49442844,0.6%,1 Oct 2025,National quarterly estimate[36],
32,Algeria,47400000,0.6%,1 Jan 2025,National annual projection[37],
33,Argentina,46387098,0.6%,1 Jul 2025,National annual projection[38],
34,Iraq,46118793,0.6%,24 Feb 2025,2024 census result[39],
35,Uganda,45905417,0.6%,10 May 2024,2024 census result[40],
36,Afghanistan,43844000,0.5%,1 Jul 2025,UN projection[41][42] (see note),[l]
37,Canada,41575585,0.5%,1 Oct 2025,National quarterly estimate[49],
38,Uzbekistan,38236704,0.5%,1 Jan 2026,Official estimate[50],
39,Poland,37351000,0.5%,30 Nov 2025,Monthly national estimate[51],
40,Morocco,36828330,0.4%,1 Sep 2024,2024 census result[52],[m]
41,Angola,36604681,0.4%,19 Sep 2024,2024 census result[53],
42,Saudi Arabia,35300280,0.4%,1 Jul 2024,Official estimate[54],
43,Peru,34350244,0.4%,1 Jul 2025,National annual projection[55],
44,Malaysia,34281100,0.4%,30 Sep 2025,National quarterly estimate[56],
45,Mozambique,34090466,0.4%,1 Jul 2025,National annual projection[57],
46,Ghana,33742380,0.4%,1 Jul 2025,National annual projection[58],
47,Yemen,32684503,0.4%,1 Jul 2023,Official estimate[59],
